Name,City,Address,Latin,Working Hours,Activities,Numbers,WebPage,Instagram,Facebook,Latitude,Longitude
Имако Вино,Скопје,"Скопје, Перо Наков б.б.","Skopje, Pero Nakov b.b.",Работно време: Пон - Пет од 07:30 до 15:30,"['винарски визби', 'вина - производство', 'вина - трговија', 'винотеки (винарници)']",02 2549051,http://www.imakovino.com.mk/,https://,https://www.facebook.com/ImakoVino,41.996,21.48151
Езимит,Штип,"Штип, Маршал Тито, с.Лозово 5","Shtip, Marshal Tito, s.Lozovo 5",Работно време: Пон - Пет од 07:30 до 15:30,"['винарски визби', 'вина - трговија']",078 222424,http://www.ezimit.mk/,https://www.instagram.com/ezimit/,https://,41.7755706980052,22.1811213169069
Изворно,Велес,"Велес, Никола Оровчанец 1","Veles, Nikola Orovchanec 1", ,"['винотеки (винарници)', 'винарски визби']",077 901169,http://www.izvorno.com.mk/,https://,https://,41.6039851151595,21.6927892180678
Далвина,Струмица,"Струмица, с.Хамзали Босилово 9","Strumica, s.Hamzali Bosilovo 9", ,"['винарски визби', 'вина - производство']",034 375578,http://,https://www.instagram.com/dalvina_winery/,https://www.facebook.com/dreamwines/,41.4901827953123,22.7447051853387
Парагон урбан вајнери,Скопје,"Скопје, Борис Трајковски (Првомајска) 62","Skopje, Boris Trajkovski (Prvomajska) 62", ,"['вина - производство', 'винотеки (винарници)', 'винарски визби']",070 399703,http://,https://,https://,41.97517,21.45284
Сковин,Битола,"Битола, Широк Сокак (Маршал Тито) 79-а","Bitola, Shirok Sokak (Marshal Tito) 79-a",Работно време: Пон - Пет од 09:00 до 21:00 • Саб од 09:00 до 14:00,['винотеки (винарници)'],047 282779,http://www.skovin.com.mk/,https://www.instagram.com/skovin_winery/?hl=en,https://www.facebook.com/SkovinVinarija,41.03047,21.33471
Мовино,Кавадарци,"Кавадарци, Рибарци 1-б","Kavadarci, Ribarci 1-b", ,['винотеки (винарници)'],043 400731,http://www.movino.mk/,https://,https://,41.44153,22.00789
Рикомо,Штип,"Штип, К.Ј.Питу 23","Shtip, K.J.Pitu 23",Работно време: Пон - Пет од 12:00 до 19:00,"['винотеки (винарници)', 'гифт-шоп', 'киосци', 'трафики и тобако']",070 210431,http://,https://,https://,41.7379458067663,22.194058612112
Чифлик,Битола,"Битола, с.Брусник 2/17","Bitola, s.Brusnik 2/17","Работно време: Пон - Сре , Чет , Нед од 08:00 до 00:00 • Пет - Саб од 08:00 до 01:00","['винотеки (винарници)', 'ресторани', 'хотели']",078 305369,http://,https://,https://,41.0322769279769,21.292795782447
Ено Бар,Скопје,"Скопје, бул.Илинден 160 лок.7","Skopje, bul.Ilinden 160 lok.7", ,"['кафе-барови и кафе-клубови', 'винотеки (винарници)', 'ресторани']",02 3090100,http://www.doxmenu.com/eno-bar,https://www.instagram.com/oeno_wine_bar/,https://www.facebook.com/Oeno-Wine-Bar-Deli-313457949359614/,42.0081905482059,21.3939666174679
Де Ферментио,Делчево,"Делчево, Методија Митевски-Брицо 22","Delchevo, Metodija Mitevski-Brico 22", ,"['вина - производство', 'винотеки (винарници)']",070 945499,http://,https://,https://,41.96673,22.77719
Винарија Попов,Кавадарци,"Кавадарци, Сопот","Kavadarci, Sopot",Работно време: Пон - Пет од 07:00 до 16:00,"['винарски визби', 'вина - производство']",043 551001,http://www.popovwinery.com.mk/,https://,https://,41.4921819961067,22.02118335845
Тристо Винари,Велес,"Велес, с.Сујаклари","Veles, s.Sujaklari",Работно време: Пон - Пет од 08:00 до 15:00,"['вина - производство', 'винарски визби', 'винотеки (винарници)']",078 389958,http://www.tristo.com.mk/,https://,https://www.facebook.com/tristo.winery/,41.788747,21.790887
Стоби Винарија,Велес,"Велес, Автопат, с.Градско 2","Veles, Avtopat, s.Gradsko 2",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби', 'ресторани']",043 215800,http://www.stobiwinery.mk/,https://,https://www.facebook.com/StobiWinery,41.5817400895422,21.9363225665861
Филовски винарија - Дирекција,Скопје,"Скопје, 11-ти Октомври 23-а-1/1","Skopje, 11-ti Oktomvri 23-a-1/1",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби']",02 3133394,http://www.filovski.com.mk/,https://,https://www.facebook.com/Filovski.Family.Winery/,41.9923233407209,21.4343303003969
Лазар Винарија,Велес,"Велес, Археолошки Локалитет Стоби Градско","Veles, Arheoloshki Lokalitet Stobi Gradsko", ,"['винарски визби', 'вина - производство', 'вина - трговија', 'апартмани и приватни соби - изнајмување', 'ресторани']",070 315800,http://www.lazarwinery.mk/,https://,https://,41.5466326234795,21.9724597681749
Дивино Винарија,Скопје,"Скопје, бул.Македонска Косовска бригада 30-б","Skopje, bul.Makedonska Kosovska brigada 30-b", ,"['вина - производство', 'пијалаци - алкохолни - производство', 'винарски визби']",071 304335,http://,https://www.instagram.com/divino.winery/?fbclid=IwAR3ztTjuyy1fzFLpy6Jm17AOpU-liG5QW-MvZmuhZ9Su2YOzLX,https://,41.995628855452,21.4275876228614
Бади Винарија,Кавадарци,"Кавадарци, Пере Тошев 3","Kavadarci, Pere Toshev 3", ,"['винотеки (винарници)', 'вина - производство']",077 832746,http://,https://www.instagram.com/badiwinery/?hl=bg,https://www.facebook.com/badiwinery/,41.4439248211373,21.9971389307305
Имако Вино,Штип,"Штип, 6-ти Километар б.б.","Shtip, 6-ti Kilometar b.b.",Работно време: Пон - Пет од 07:00 до 15:00,"['винарски визби', 'вина - производство', 'вина - трговија', 'винотеки (винарници)']",032 308703,http://www.imakovino.com.mk/,https://,https://www.facebook.com/ImakoVino,41.7017835057227,22.1561998701588
Бовин,Неготино,"Неготино, Индустриска б.б.","Negotino, Industriska b.b.",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби']",043 365322,http://www.bovin.com.mk/,https://,https://www.facebook.com/bovinwinerypage/,41.4935010773352,22.0927470891978
Пеца Комерц,Кавадарци,"Кавадарци, Западен булевар 13","Kavadarci, Zapaden bulevar 13",Работно време: Пон - Пет од 08:00 до 16:00,"['транспорт - меѓународен', 'земјоделски производи - трговија', 'вина - производство', 'винарски визби']",043 410287,http://www.winerypeca.com/,https://,https://,41.4420480265055,22.0050634123495
Пивка,Неготино,"Неготино, Индустриска б.б.","Negotino, Industriska b.b.",Работно време: Пон - Пет од 07:00 до 15:00,"['вина - трговија', 'винарски визби']",043 371416,http://www.winerypivka.com.mk/,https://,http://www.winerypivka.com.mk/,41.4920852903192,22.093687642636
Попова Кула,Демир Капија,"Демир Капија, Булевар на виното 1","Demir Kapija, Bulevar na vinoto 1", ,"['винарски визби', 'вина - производство', 'ресторани', 'хотели', 'вина - трговија', 'ресторани за свадби']",043 367400,http://www.popovakula.com.mk/,https://,https://www.facebook.com/301452074622/,41.4113464152661,22.2272068876167
Кокино вино,Куманово,"Куманово, Козјачка, с.Доброшане 15","Kumanovo, Kozjachka, s.Dobroshane 15",Работно време: Пон - Пет од 08:00 до 14:00,"['вина - производство', 'винарски визби', 'хотели']",070 236562,http://,https://,https://www.facebook.com/profile.php?id=100063465132926&ref=page_internal,42.1160831107143,21.7483777067827
Картал,Скопје,"Скопје, ул.1519 7","Skopje, ul.1519 7",Работно време: Пон - Пет од 09:00 до 17:00,"['вина - производство', 'вина - трговија', 'винотеки (винарници)', 'винарски визби']",070 242419,http://www.kartal.com.mk/,https://www.instagram.com/kartalwinery/,https://www.facebook.com/kartalwinery,41.9625966820276,21.4764933509563
Пирган,Прилеп,"Прилеп, Орде Чопела 173","Prilep, Orde Chopela 173",Работно време: Пон - Пет од 08:00 до 16:00 • Саб од 08:00 до 15:00,"['винарски визби', 'пијалаци - алкохолни - производство', 'вина - производство']",070 208552,http://,https://,https://www.facebook.com/pirgan.winery/,41.3656050130327,21.5156802585053
Коцев Фемили Вајн,Велес,"Велес, с.Оморани","Veles, s.Omorani",Работно Време: Пон - Саб од 10:00 до 18:00,"['винарски визби', 'вина - производство']",072 245483,http://,https://,https://,41.710214,21.787299
Донов,Кавадарци,"Кавадарци, Лазо Асијата 6","Kavadarci, Lazo Asijata 6",Работно Време: Пон - Саб од 08:00 до 20:00,"['вина - трговија', 'винарски визби']",070 204185,http://,https://,https://mk-mk.facebook.com/donovwinery/,41.430119,22.019174
Воденица,Скопје,"Скопје, М.Т.Гологанов (Иво Лола Рибар) 69","Skopje, M.T.Gologanov (Ivo Lola Ribar) 69",Работно време: Пон - Пет од 09:00 до 00:00 • Саб од 09:00 до 01:00,"['ресторани', 'ресторани - италијански', 'ресторани - специјалитети', 'винотеки (винарници)', 'ресторани за свадби', 'конференциски капацитети и услуги']",02 3232877,http://www.vodenicamulino.com.mk/,https://,https://www.facebook.com/VodenicaMulino/,41.995057,21.413398
Камник,Скопје,"Скопје, Камник б.б.","Skopje, Kamnik b.b.",Работно време: Пон - Чет од 08:00 до 00:00 • Пет - Саб од 08:00 до 01:00 • Нед од 08:00 до 22:00,"['ресторани', 'винотеки (винарници)']",02 2523522,http://www.chateaukamnik.com/,https://www.instagram.com/chateaukamnikwinery/,https://www.facebook.com/ChateauKamnikWinery/,42.00807,21.489983
Камник вино,Скопје,"Скопје, Димитија Чуповски (Вељко Влаховиќ) 13","Skopje, Dimitija Chupovski (Veljko Vlahovikj) 13",Работно време: Пон - Саб од 09:00 до 19:00,"['винотеки (винарници)', 'пијалаци - алкохолни - трговија']",02 3117080,http://www.chateaukamnik.com/,https://www.instagram.com/chateaukamnikwinery/,https://www.facebook.com/ChateauKamnikWinery/,41.99706,21.427423
Вила Мал Свети Климент,Охрид,"Охрид, Методија Патчев 8","Ohrid, Metodija Patchev 8",Работно време: Пон - Нед од 08:00 до 23:00,"['апартмани и приватни соби - изнајмување', 'хотели', 'винотеки (винарници)']",046 250655,http://www.vilamalsvetikliment.com/,https://www.instagram.com/malsvetikliment/,https://www.facebook.com/vila.malsvetikliment,41.113143,20.796508
Сарафов,Струга,"Струга, 1-ва Македонска ударна бригада 1","Struga, 1-va Makedonska udarna brigada 1",Работно време: Пон - Саб од 09:00 до 21:00,['винотеки (винарници)'],071 366951,http://,https://,https://,41.468551,22.082963
Библиотека,Скопје,"Скопје, бул.Партизански Одреди 55/5","Skopje, bul.Partizanski Odredi 55/5",Работно време: Пон - Пет од 09:00 до 21:00,"['пијалаци - алкохолни - трговија', 'винотеки (винарници)']",02 3246023,http://www.liquorstore.busness.site/,https://,https://www.facebook.com/BibliotekaLiquorStore,42.000365,21.413935
Панорама,Струмица,"Струмица, с.Мокрино","Strumica, s.Mokrino",Работно време: Пон - Нед од 10:00 до 23:00,"['ресторани', 'ресторани за свадби', 'туризам - алтернативен', 'туристички агенции', 'винотеки (винарници)', 'ресторани - национални']",070 700776,http://www.panoramamokrino.blogspot.com/,https://,https://www.facebook.com/pages/Restoran-Panorama-Mokrino/147703835287399,41.378976,22.854615
Виноро-Алкотека,Скопје,"Скопје, бул.Св.Климент Охридски 54","Skopje, bul.Sv.Kliment Ohridski 54",Работно време: Пон - Пет од 10:30 до 19:00,"['пијалаци - алкохолни - трговија', 'винотеки (винарници)']",070 851932,http://,https://,https://www.facebook.com/pages/Vinoro/129580003727230,41.997587,21.424901
Боттега дел вино,Скопје,"Скопје, бул.Партизански Одреди 64/3-б","Skopje, bul.Partizanski Odredi 64/3-b",Работно време: Пон - Саб од 10:00 до 19:00,"['винотеки (винарници)', 'пијалаци - алкохолни - трговија']",02 6156006,http://www.bottegadelvino.com.mk/,https://,https://www.facebook.com/bottegavino,42.003586,21.398838
